Initial Pressure;Density;CJ Speed;Final Pressure;Final Temperature
;;;;
101325.0;2.2734249279646064;2281.0195858471006;2993346.331750233;2033.563305845769
;;;;
117323.0;2.6324708187601034;2281.177621505084;3466593.774833991;2034.0351001484307
;;;;
133322.0;2.9916030210122804;2281.328401566196;3940082.795348329;2034.5197020392452
;;;;
149321.0;3.350810810001929;2281.4763444921546;4413811.504954268;2035.0247736935682
;;;;
165319.0;3.7100746900554746;2281.6240574925114;4887763.083902418;2035.5534036755478
;;;;
181318.0;4.069448396069568;2281.7733776606947;5362019.738163361;2036.1083838656716
;;;;
197317.0;4.428910077022422;2281.9253473268927;5836560.37945146;2036.6900614389717
;;;;
213315.0;4.7884463722878685;2282.080794757711;6311378.299458425;2037.2994954892745
;;;;
229314.0;5.148103961212435;2282.240167394941;6786542.6558518475;2037.9363232427497
;;;;
245313.0;5.494647823737126;2282.4197905705187;7239405.912856924;2037.1447176158665
;;;;
261311.0;5.8677040980153485;2282.5716000943385;7737835.969614195;2039.2897717253038
;;;;
277310.0;6.227620828647337;2282.7430406681888;8213922.22100114;2039.9994314371636
;;;;
293309.0;6.587590792674251;2282.918093757084;8690268.855532693;2040.7286833074222
;;;;
309307.0;6.9477462169135835;2283.098836340847;9167118.747348033;2041.4911611072168
;;;;
325306.0;7.308026085285922;2283.283587951092;9644351.668538664;2042.275034796424
;;;;
341305.0;7.66841937476688;2283.472329349062;10121961.249823382;2043.0801009764546
;;;;
357303.0;8.028890637503341;2283.6646991249395;10599898.292334117;2043.904056971871
;;;;
373302.0;8.389489895603361;2283.860598388285;11078233.78228387;2044.7463120141554
;;;;
389301.0;8.750192060699714;2284.0597882212473;11556935.657167953;2045.6055284632844
;;;;
405300.0;9.110932516640123;2284.26129997209;12035893.762044163;2046.4761847897528
